program_id,program,program_code,department,department_code,organization_group,organization_group_code,related_govt_units
1,Special Events,EVENT,DPH Public Health,DPH,Community Health,4,No
2,No Program Defined,XXX,BOA Board Of Appeals - PAB,PAB,"Public Works, Transportation & Commerce",2,No
3,City Capital Projects,BAW,GEN General City / Unallocated,GEN,General City Responsibilities,7,No
4,Operating,OPR,POL Police,POL,Public Protection,1,Yes
5,Administration,ASC,JUV Juvenile Probation,JUV,Public Protection,1,No
6,Services To Frail Elders,CIB,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
7,Community Development Block Grants,CGC,MYR Mayor,MYR,General Administration & Finance,6,No
8,Water Capital Projects,BCI,DT GSA - Technology,TIS,General Administration & Finance,6,No
9,Municipal Court Services,AMA,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
10,No Program Defined,NKEY,PRT Port,PRT,"Public Works, Transportation & Commerce",2,No
11,City Distribution,BCF,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
12,County Jail 8 & 9,AKN,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
13,Seismic Safety Loan Program,BK2,ECN Economic & Wrkfrce Dvlpmnt,ECN,"Public Works, Transportation & Commerce",2,No
14,No Program Defined,XXX,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,Yes
15,DSS Central Management,CGA,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
16,Medical Examiner,ASG,ADM Gen Svcs Agency-City Admin,ADM,Public Protection,1,No
17,Customer Services,BCE,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
18,Gross Receipts Tax,FGR,TTX Treasurer/Tax Collector,TTX,General Administration & Finance,6,No
19,Administrative,ADMIN,WAR War Memorial,WAR,Culture & Recreation,5,No
20,Investment,FDF,RET Retirement System,RET,General Administration & Finance,6,Yes
21,Disabled Children/Poor/Needy Svcs,CGI,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
22,General Fund Unallocated,FXX,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
23,Central Administration,DHA,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
24,Tourism Events,EIJ,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
25,Benefit Programs,BEW,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
26,Central Administration,DHA,DPH Public Health,DPH,Community Health,4,Yes
27,Operating,OPR,CTA SF County Transprtn Auth,CTA,"Public Works, Transportation & Commerce",2,No
28,No Program Defined,NKEY,SHF Sheriff,SHF,Public Protection,1,No
29,Economic Development,BK5,MYR Mayor,MYR,General Administration & Finance,6,No
30,Maintenance,MAINT,HSA Human Services Agency,HSA,Human Welfare & Neighborhood Development,3,No
31,No Program Defined,XXX,CFC Children & Families Commsn,CFC,Human Welfare & Neighborhood Development,3,No
32,Technology,TECH,CON Controller,CON,General Administration & Finance,6,No
33,Debt Service,BDQ,WWE Wastewater Enterprise,CWP,"Public Works, Transportation & Commerce",2,No
34,I D Maintenance & Opr Of Bldg,BAS,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
35,Animal Welfare,AUA,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
36,Hetch Hetchy Project Operations,BCL,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
37,Maintenance-CPC Funded,MAINC,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
38,Technology-COIT Funded,TECHC,AAM Asian Art Museum,AAM,Culture & Recreation,5,No
39,Public Administrator,CIH,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
40,Children's Baseline,FAL,ECN Economic & Wrkfrce Dvlpmnt,ECN,"Public Works, Transportation & Commerce",2,No
41,Costs Of Bond Issuance,FAP,CON Controller,CON,General Administration & Finance,6,No
42,Work Order Services,AEH,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
43,3Com Park Project,ECL,ECN Economic & Wrkfrce Dvlpmnt,ECN,"Public Works, Transportation & Commerce",2,No
44,Substance Abuse - Early Intervention,DIS,DPH Public Health,DPH,Community Health,4,No
45,No Program Defined,NKEY,POL Police,POL,Public Protection,1,No
46,City Capital Projects,BAW,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
47,Maintenance,MAINT,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
48,Operating,OPR,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
49,No Program,No Program Code,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
50,Special Events,EVENT,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
51,911 Project,BIX,DEM Emergency Management,ECD,Public Protection,1,No
52,No Program Defined,CXX,DAT District Attorney,DAT,Public Protection,1,No
53,SFGH - Emergency - Emergency,D5E,DPH Public Health,DPH,Community Health,4,No
54,Operating,OPR,HOM Homelessness Services,HOM,Human Welfare & Neighborhood Development,3,No
55,Plan Review Services,BPS,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
56,Children and Families Fund,CFC,CFC Children & Families Commsn,CFC,Human Welfare & Neighborhood Development,3,No
57,Capital-CPC Funded,CAPCP,LIB Public Library,LIB,Culture & Recreation,5,No
58,Airport Police,AC5,POL Police,POL,Public Protection,1,No
59,Water Facilities Maintenance Projects,BCJ,AIR Airport Commission,AIR,"Public Works, Transportation & Commerce",2,No
60,Administrative,ADMIN,ART Arts Commission,ART,Culture & Recreation,5,No
61,Housing Inspection/Code Enforcement Svcs,BHS,DBI Building Inspection,DBI,"Public Works, Transportation & Commerce",2,No
62,Building Operations,EAG,ADM Gen Svcs Agency-City Admin,ADM,Culture & Recreation,5,No
63,Pop Growth Gf Alloc Capital Projects,BE8,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
127,Fire Airport,AEM,FIR Fire Department,FIR,Public Protection,1,No
64,Long Range Planning & Policy,BCX,PUB Public Utilities Bureaus,PUC,"Public Works, Transportation & Commerce",2,No
65,No Program Defined,XXX,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,Yes
66,Construction Inspection,BAO,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
67,Hetch Hetchy Capital Projects,BCP,CAT City Attorney,CAT,General Administration & Finance,6,No
68,Capital,CAP,CSS Child Support Services,CSS,Human Welfare & Neighborhood Development,3,No
69,Primary Care - Ambu Care - Health Cntrs,DHP,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
70,Operating,OPR,GEN General City / Unallocated,GEN,General City Responsibilities,7,Yes
71,Capital,CAP,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
72,Administration & Management,CMN,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
73,Administration,BKO,PRT Port,PRT,"Public Works, Transportation & Commerce",2,No
74,Golden Gate Park,EAA,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
75,Water Transmission/ Distribution,BDK,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
76,City Capital Projects,BAW,JUV Juvenile Probation,JUV,Public Protection,1,No
77,Employee Deferred Comp Plan,EDC,RET Retirement System,RET,General Administration & Finance,6,No
78,Sf Benefits Net,CGW,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
79,25 Van Ness Building,FEV,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
80,Operating,OPR,CCD SF Communtiy College Dist,CCD,Human Welfare & Neighborhood Development,3,Yes
81,Traffic Engineering & Operation,BKG,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
82,No Program Defined,XXX,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
83,SFGH - Ambu Care - Women'S Health Center,D3W,DPH Public Health,DPH,Community Health,4,No
84,Community Health/Support Service,DCH,HRD Human Resources,HRD,General Administration & Finance,6,Yes
85,Transitional-Aged Youth Baseline,FAY,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
86,Laguna Honda - Non Lhh Program Expenses,DA4,DPH Public Health,DPH,Community Health,4,No
87,Water Quality,BCD,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
88,Custody,AFC,SHF Sheriff,SHF,Public Protection,1,No
89,No Program Defined,XXX,SHF Sheriff,SHF,Public Protection,1,Yes
90,No Program Defined,AXX,CRT Superior Court,CRT,Public Protection,1,No
91,Entertainment Commission,FFL,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
92,Consent Decree/Stipulated Order,AEB,FIR Fire Department,FIR,Public Protection,1,No
93,Ag Wts & Measures Inspection,AOB,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
