type_id,sub_object,sub_object_code,object,object_code,character,character_code
1,Court Fines,425210,Court Fines-Non Traffic,425,Fines; Forfeitures & Penalties,425
2,Juvenile Probation - Tanf,440155,Federal-Publc Assistance Admin,440,Intergovernmental Rev-Federal,440
3,OTO To 5H-General Hosptl Fd,591320,Other Operating Transfers Out,593,Operating Transfers Out,591
4,Hospital-Chgs-Other Genrl Govt,475311,Chn-Other Operating Revenue,475,Other Revenues,475
5,Curb Cut Assessment Fee,460691,Public Safety Service Charges,PUB_SAFE_SVC_CHGS,Charges for Services,CHGS_FOR_SERVICES
6,"Ret Pickup, Police (New)",470126,Retirement - Contributions,470,Contribtns (Ret;Hss;Hlth Care),470
7,ITO To 5C-Cleanwater ProgramFd,595220,ITO To 5C-Cleanwater ProgramFd,595220,Intrafund Transfers Out,INTRA_TFR_OUT
8,Cto To 2S-Special Revenue Fund,592020,Gen Fund Subsidy Transfer Out,592,General Fund Subsidy Xfer Out,592
9,IHSS Admin (State-Fed),445145,State-Public Assistance Admin,445,Intergovernmental Rev-State,445
10,Exp Rec Fr Sf Gen Hospital AAO,486380,ISF Charges for Services to AAO Funds,860,ISF Charges for Services,860
11,Perf. I-D Svcs Exp-Budget Cfwd,585010,Perf Svcs Expnd-Cfwd Bdgt Only,PERF_SVCS_EXPND_CFWD,Carry-Forward Budgets Only,CARRYFWD_BUD_ONLY
12,GME Medicaid Rev,465903,Net Patient Revenue,NET_PAT_REV,Charges for Services,CHGS_FOR_SERVICES
13,Other Equip Maint,529990,Maintenance Svcs-Equipment,529,Non Personnel Services,521
14,Exp Rec Fr Fine Arts Museum (AAO),865FA,Recovery for Svcs to AAO Funds,865,Expenditure Recovery,865
15,Fee Surchrges For1660MissionSt,460653,Public Safety Service Charges,460,Charges For Services,460
16,Return To Residence Assistance,536330,Return To Residence Assistance,536330,Aid Assistance,AID_ASSIST
17,SB 855 - Disprop. Share Hospital Program,66001,State Bill Revenues,466,Charges For Services,460
18,IHSSPublcAuthrtyTitleXixShare,440211,Federal-Public Assistance Prog,440,Intergovernmental Rev-Federal,440
